"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"signaling by erbb4","signaling by erbb4","8/333","58/10821",0.000370243304400131,0.00331376008589981,0.00227506543735785,"APOE/EGF/EGFR/ESR1/PSEN2/SRC/UBB/YAP1",8,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"tak1 activates nfkb by phosphorylation and activation of ikks complex","tak1 activates nfkb by phosphorylation and activation of ikks complex","6/333","32/10821",0.000373752427943447,0.00331376008589981,0.00227506543735785,"HMGB1/MAP3K7/NFKB1/NFKB2/RELA/UBB",6,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"regulation of runx2 expression and activity","regulation of runx2 expression and activity","9/333","73/10821",0.000380489825528246,0.00332785768017085,0.00228474415538346,"ESR1/GSK3B/PPARGC1A/PSMA7/PSMB8/PSMC6/SKP2/STAT1/UBB",9,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"neutrophil degranulation","neutrophil degranulation","29/333","479/10821",0.000383253849141683,0.00332785768017085,0.00228474415538346,"ANPEP/ANXA2/ATP6AP2/B2M/BST2/CD14/CD36/CDA/DDX3X/DNAJC5/ELANE/GGH/HLA-C/HMGB1/HP/HSP90AA1/HSPA8/LTF/MIF/MMP9/NFKB1/PPIA/PYCARD/RAC1/SERPINA1/TCIRG1/TLR2/STING1/TTR",29,"HEPATITIS B",8,"Interferon stimulated genes: interleukins and antigen presentation"
"cd28 co stimulation","cd28 co stimulation","6/333","33/10821",0.000445127314338774,0.00382722210465789,0.00262758332096779,"AKT1/CD28/CD80/MTOR/RAC1/SRC",6,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"ub specific processing proteases","ub specific processing proteases","17/333","221/10821",0.00047590831348075,0.00405215136818076,0.0027820087410423,"AR/BECN1/BIRC3/DDX58/HGS/IL33/MAP3K7/MYC/PSMA7/PSMB8/PSMC6/PTEN/SKP2/SMAD4/TP53/UBB/USP18",17,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"trafficking and processing of endosomal tlr","trafficking and processing of endosomal tlr","4/333","13/10821",0.000505243215982389,0.00426056058092841,0.00292509230305594,"HSP90B1/TLR3/TLR7/TLR9",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"regulation of pten gene transcription","regulation of pten gene transcription","8/333","61/10821",0.00052510283464513,0.00434448288663943,0.00298270924942418,"EZH2/HDAC1/JUN/LAMTOR5/MTOR/PPARG/PTEN/TP53",8,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"cyclin d associated events in g1","cyclin d associated events in g1","7/333","47/10821",0.000534788524594511,0.00438326669223726,0.00300933631154019,"CCND2/CDKN1A/CDKN1B/CDKN2A/SKP2/SRC/UBB",7,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"metabolism of fat soluble vitamins","metabolism of fat soluble vitamins","7/333","48/10821",0.00060983870143487,0.00495211612183686,0.00339988047973436,"AKR1C1/APOA1/APOB/APOE/APOM/SDC2/TTR",7,"HEPATITIS B",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"signaling by notch","signaling by notch","18/333","247/10821",0.000623764985687363,0.00497310811316197,0.00341429255323609,"AGO2/AKT1/CREB1/EGF/EGFR/H2AX/HDAC1/JUN/MIR449A/MYC/NOTCH1/PSEN2/PSMA7/PSMB8/PSMC6/STAT1/TP53/UBB",18,"HEPATITIS B",10,"NOTCH and FOXO mediated gene expression"
"transcriptional regulation by mecp2","transcriptional regulation by mecp2","8/333","63/10821",0.000654772401751907,0.00517329185888669,0.00355172891230053,"AGO2/CREB1/HDAC1/MIR132/NOTCH1/PPARG/PTEN/SST",8,"HEPATITIS B",1,"Neurotransmission"
"mitotic g1 phase and g1 s transition","mitotic g1 phase and g1 s transition","13/333","149/10821",0.000680346057491142,0.0052220869560794,0.00358522923708506,"AKT1/CCND2/CDKN1A/CDKN1B/CDKN2A/HDAC1/MYC/PSMA7/PSMB8/PSMC6/SKP2/SRC/UBB",13,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"akt phosphorylates targets in the cytosol","akt phosphorylates targets in the cytosol","4/333","14/10821",0.000690282231472784,0.0052220869560794,0.00358522923708506,"AKT1/CDKN1A/CDKN1B/GSK3B",4,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"traf6 mediated irf7 activation in tlr7 8 or 9 signaling","traf6 mediated irf7 activation in tlr7 8 or 9 signaling","4/333","14/10821",0.000690282231472784,0.0052220869560794,0.00358522923708506,"MYD88/TLR7/TLR9/UBB",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"diseases of programmed cell death","diseases of programmed cell death","5/333","24/10821",0.000702629715869293,0.0052220869560794,0.00358522923708506,"BCL2L11/CDKN2A/FASLG/JUN/SOD2",5,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"growth hormone receptor signaling","growth hormone receptor signaling","5/333","24/10821",0.000702629715869293,0.0052220869560794,0.00358522923708506,"CISH/GH1/SOCS3/STAT1/STAT3",5,"HEPATITIS B",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 6 family signaling","interleukin 6 family signaling","5/333","24/10821",0.000702629715869293,0.0052220869560794,0.00358522923708506,"IL6/IL6R/SOCS3/STAT1/STAT3",5,"HEPATITIS B",8,"Interferon stimulated genes: interleukins and antigen presentation"
"metabolism of vitamins and cofactors","metabolism of vitamins and cofactors","15/333","189/10821",0.00073415246034999,0.00541051855232723,0.00371459714568947,"ABCC1/AKR1C1/AKT1/APOA1/APOB/APOE/APOM/CD38/ENPP2/ENPP3/CBLIF/HSP90AA1/PTGS2/SDC2/TTR",15,"HEPATITIS B",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"regulation of tp53 expression and degradation","regulation of tp53 expression and degradation","6/333","37/10821",0.000842483024983534,0.00607042377661222,0.00416765576453483,"AKT1/CCNG1/CDKN2A/MTOR/TP53/UBB",6,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"binding and uptake of ligands by scavenger receptors","binding and uptake of ligands by scavenger receptors","10/333","98/10821",0.000844460320121654,0.00607042377661222,0.00416765576453483,"ALB/APOA1/APOB/APOE/CALR/CD163/CD36/HP/HSP90AA1/HSP90B1",10,"HEPATITIS B",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"signaling by egfr in cancer","signaling by egfr in cancer","5/333","25/10821",0.000856386927643589,0.00610610841905226,0.00419215509295792,"EGF/EGFR/HSP90AA1/TGFA/UBB",5,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"the nlrp3 inflammasome","the nlrp3 inflammasome","4/333","15/10821",0.000918616924140978,0.00649699227799708,0.00446051681331612,"NFKB1/NFKB2/RELA/PYCARD",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"hsf1 dependent transactivation","hsf1 dependent transactivation","6/333","38/10821",0.000974938627964509,0.006840169413799,0.00469612543322694,"DNAJB1/HSP90AA1/HSPA8/HSPB1/MTOR/UBB",6,"HEPATITIS B",5,"Response to stress: autophagy, mitophagy, heatshock response"
"metabolism of porphyrins","metabolism of porphyrins","5/333","26/10821",0.00103387004450051,0.00719606372243607,0.00494046504138923,"ABCC1/ALB/BLVRA/CPOX/HMOX1",5,"HEPATITIS B",13,"Iron metabolism"
"transcriptional regulation of white adipocyte differentiation","transcriptional regulation of white adipocyte differentiation","9/333","84/10821",0.0010735823777845,0.00741363578989768,0.00508983937084736,"CD36/NFKB1/RELA/PPARA/PPARG/PPARGC1A/TGFB1/TNF/WNT1",9,"HEPATITIS B",10,"NOTCH and FOXO mediated gene expression"
"g1 s dna damage checkpoints","g1 s dna damage checkpoints","8/333","68/10821",0.0010941292020161,0.00749649461068845,0.00514672618053627,"CDKN1A/CDKN1B/CDKN2A/PSMA7/PSMB8/PSMC6/TP53/UBB",8,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"intrinsic pathway for apoptosis","intrinsic pathway for apoptosis","7/333","53/10821",0.00111955714027915,0.00757483704250469,0.00520051225867213,"AKT1/BCL2/BCL2L11/CDKN2A/MAPK8/STAT3/TP53",7,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"cyclin a cdk2 associated events at s phase entry","cyclin a cdk2 associated events at s phase entry","9/333","85/10821",0.00116893901484406,0.00782564516044456,0.00537270483319245,"AKT1/CDKN1A/CDKN1B/MYC/PSMA7/PSMB8/PSMC6/SKP2/UBB",9,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"p75ntr signals via nf kb","p75ntr signals via nf kb","4/333","16/10821",0.00119534542856962,0.00788208978086882,0.00541145694611651,"MYD88/NFKB1/RELA/UBB",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"traf6 mediated induction of tak1 complex within tlr4 complex","traf6 mediated induction of tak1 complex within tlr4 complex","4/333","16/10821",0.00119534542856962,0.00788208978086882,0.00541145694611651,"CD14/MAP3K7/TLR4/UBB",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"regulation of runx3 expression and activity","regulation of runx3 expression and activity","7/333","55/10821",0.00139856832148019,0.00915331655177707,0.00628421900932183,"CDKN2A/PSMA7/PSMB8/PSMC6/SRC/TGFB1/UBB",7,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"interleukin 17 signaling","interleukin 17 signaling","8/333","71/10821",0.00145417244316292,0.00940786687880627,0.00645898080138893,"CREB1/IL17A/IL17RA/JUN/MAP3K7/MAPK8/NFKB1/UBB",8,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"attenuation phase","attenuation phase","5/333","28/10821",0.00146874455693278,0.00940786687880627,0.00645898080138893,"DNAJB1/HSP90AA1/HSPA8/HSPB1/UBB",5,"HEPATITIS B",5,"Response to stress: autophagy, mitophagy, heatshock response"
"transcriptional regulation by ventx","transcriptional regulation by ventx","6/333","41/10821",0.00146964397080554,0.00940786687880627,0.00645898080138893,"CDKN2A/CTNNB1/IL6/NFKB1/RELA/TP53",6,"HEPATITIS B",2,"Cell fate: apoptosis, senesence, differentiation"
"activation of irf3 irf7 mediated by tbk1 ikk epsilon","activation of irf3 irf7 mediated by tbk1 ikk epsilon","4/333","17/10821",0.00152556381036088,0.00962531986824815,0.00660827337770863,"CD14/IRF3/TLR4/UBB",4,"HEPATITIS B",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"gab1 signalosome","gab1 signalosome","4/333","17/10821",0.00152556381036088,0.00962531986824815,0.00660827337770863,"EGF/EGFR/SRC/TGFA",4,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"signaling by vegf","signaling by vegf","10/333","106/10821",0.0015471843603275,0.00969200488576583,0.00665405604591977,"AKT1/CAV1/CTNNB1/HSP90AA1/HSPB1/MTOR/RAC1/SPHK1/SRC/VEGFA",10,"HEPATITIS B",4,"Signal transduction upon growth factor stimulation"
"signaling by interleukins","signaling by interleukins","103/430","462/10821",2.47029966986775e-50,2.19115580717269e-47,1.46657790926885e-47,"AKT1/ANXA2/ARF1/BCL2/BCL2L1/CASP1/CASP3/CCL2/CCL5/CCR5/CD36/CD4/CD86/CDC42/CDKN1A/CHUK/CISH/CRLF1/CSF2/CSF3/CXCL10/FASLG/FOS/FOXO1/FOXO3/HAVCR2/HGF/HIF1A/HMGB1/HMOX1/HSP90AA1/HSP90B1/HSPA8/IFNG/IFNL1/IFNL3/IKBKB/IL1A/IL10/IL12A/IL12B/IL17A/IL18/IL1B/IL2/IL21/IL22/IL23A/IL27/IFNL2/IL2RA/IL37/IL4/IL6/IL7/IL7R/CXCL8/INPPL1/IRAK1/IRS1/JUN/LGALS9/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/MMP2/MMP9/MYC/NANOG/NFKB1/NFKB2/RELA/NOS2/OSM/PIM1/PPIA/PSMA7/PSMB9/PSME3/PTGS2/S100B/SAA1/SDC1/SOCS1/SOCS2/SOCS3/SQSTM1/STAT1/STAT2/STAT3/STAT6/SOD1/TGFB1/TNF/TNFRSF1A/TP53/TRAF6/TSLP/UBB/VEGFA/VIM",103,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","46/430","111/10821",1.27429174824994e-35,5.65148390348848e-33,3.78263445269982e-33,"AKT1/BCL2/BCL2L1/CCL2/CD36/CDKN1A/FASLG/FOS/FOXO1/FOXO3/HGF/HIF1A/HMOX1/HSP90AA1/HSP90B1/HSPA8/IL1A/IL10/IL12A/IL12B/IL17A/IL18/IL1B/IL23A/IL4/IL6/CXCL8/MMP2/MMP9/MYC/NANOG/NOS2/OSM/PIM1/PTGS2/SAA1/SOCS1/SOCS3/STAT1/STAT3/STAT6/TGFB1/TNF/TP53/VEGFA/VIM",46,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interferon signaling","interferon signaling","52/430","203/10821",2.97923522390002e-28,8.80860547866439e-26,5.89574970624425e-26,"ADAR/BST2/CD44/DDX58/EIF2AK2/EIF4A1/EIF4A2/EIF4G1/GBP1/HLA-A/HLA-B/HLA-C/HLA-DQB1/HLA-DRB1/HLA-DRB4/HLA-E/HLA-G/IFI27/IFI6/IFIT1/IFIT5/IFITM1/IFNA1/IFNA2/IFNAR1/IFNB1/IFNG/IRF1/IRF3/IRF5/IRF7/IRF9/ISG15/MAPK3/MT2A/MX1/NCAM1/OAS1/OAS3/PIN1/PML/RNASEL/RSAD2/SOCS1/SOCS3/STAT1/STAT2/SUMO1/TRIM22/TRIM25/UBB/USP18",52,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interferon alpha beta signaling","interferon alpha beta signaling","32/430","71/10821",1.83220584284207e-26,4.06291645650229e-24,2.7193791983235e-24,"ADAR/BST2/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/IFI27/IFI6/IFIT1/IFIT5/IFITM1/IFNA1/IFNA2/IFNAR1/IFNB1/IRF1/IRF3/IRF5/IRF7/IRF9/ISG15/MX1/OAS1/OAS3/RNASEL/RSAD2/SOCS1/SOCS3/STAT1/STAT2/USP18",32,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"ddx58 ifih1 mediated induction of interferon alpha beta","ddx58 ifih1 mediated induction of interferon alpha beta","27/430","78/10821",6.98154306353927e-19,1.23852573947187e-16,8.28966376386558e-17,"ATG5/CASP8/CHUK/DDX58/HMGB1/IFIH1/IFNA1/IFNA2/IFNB1/IKBKB/IKBKE/IRF3/IRF7/ISG15/MAVS/NFKB1/NFKB2/RELA/NLRX1/PCBP2/PIN1/S100B/SAA1/TNFAIP3/TRAF6/TRIM25/UBB",27,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor cascades","toll like receptor cascades","34/430","153/10821",1.03827710279857e-16,1.48385935738745e-14,9.93172346248768e-15,"APOB/CASP8/CD36/CHUK/FOS/HMGB1/HSP90B1/IKBKB/IKBKE/IRAK1/IRF3/IRF7/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100B/SAA1/SOCS1/TLR1/TLR2/TLR3/TLR4/TLR6/TLR7/TLR8/TLR9/TRAF6/UBB",34,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interferon gamma signaling","interferon gamma signaling","27/430","93/10821",1.17102767775786e-16,1.48385935738745e-14,9.93172346248768e-15,"CD44/GBP1/HLA-A/HLA-B/HLA-C/HLA-DQB1/HLA-DRB1/HLA-DRB4/HLA-E/HLA-G/IFNG/IRF1/IRF3/IRF5/IRF7/IRF9/MT2A/NCAM1/OAS1/OAS3/PML/SOCS1/SOCS3/STAT1/SUMO1/TRIM22/TRIM25",27,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 10 signaling","interleukin 10 signaling","19/430","46/10821",2.53100828123383e-15,2.80625543181801e-13,1.87827456659985e-13,"CCL2/CCL5/CCR5/CD86/CSF2/CSF3/CXCL10/IL1A/IL10/IL12A/IL12B/IL18/IL1B/IL6/CXCL8/PTGS2/STAT3/TNF/TNFRSF1A",19,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"toll like receptor 4 tlr4 cascade","toll like receptor 4 tlr4 cascade","28/430","127/10821",7.07173576921396e-14,6.96958847476976e-12,4.664864296885e-12,"CASP8/CD36/CHUK/FOS/HMGB1/IKBKB/IKBKE/IRAK1/IRF3/IRF7/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100B/SAA1/SOCS1/TLR1/TLR2/TLR4/TLR6/TRAF6/UBB",28,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor tlr1 tlr2 cascade","toll like receptor tlr1 tlr2 cascade","24/430","97/10821",3.02953888742377e-13,2.68720099314488e-11,1.79858940263895e-11,"CD36/CHUK/FOS/HMGB1/IKBKB/IRAK1/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100B/SAA1/SOCS1/TLR1/TLR2/TLR4/TLR6/TRAF6/UBB",24,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"traf6 mediated nf kb activation","traf6 mediated nf kb activation","13/430","24/10821",8.63501261688873e-13,6.96296017380027e-11,4.66042786212942e-11,"CHUK/DDX58/HMGB1/IFIH1/IKBKB/MAVS/NFKB1/NFKB2/RELA/S100B/SAA1/TRAF6/TRIM25",13,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","23/430","95/10821",1.56717219598011e-12,1.1584014481953e-10,7.75337823274371e-11,"CHUK/FOS/HMGB1/IKBKB/IRAK1/IRF7/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100B/SAA1/TLR4/TLR7/TLR8/TLR9/TRAF6/UBB",23,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"negative regulators of ddx58 ifih1 signaling","negative regulators of ddx58 ifih1 signaling","13/430","34/10821",2.23030124385233e-10,1.41305514521215e-08,9.45781880851663e-09,"ATG5/DDX58/IFIH1/IKBKE/IRF3/ISG15/MAVS/NLRX1/PCBP2/PIN1/TNFAIP3/TRIM25/UBB",13,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"diseases of immune system","diseases of immune system","11/430","24/10821",5.37842436700422e-10,3.18044160902183e-08,2.12872374946693e-08,"CD36/CHUK/IKBKB/NFKB1/NFKB2/RELA/TLR1/TLR2/TLR3/TLR4/TLR6",11,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interleukin 1 family signaling","interleukin 1 family signaling","24/430","139/10821",9.85188109751698e-10,5.46163658343598e-08,3.65556640723656e-08,"CASP1/CHUK/HMGB1/IKBKB/IL1A/IL18/IL1B/IL37/IL4/IRAK1/MAP2K1/MAPK8/NFKB1/NFKB2/RELA/PSMA7/PSMB9/PSME3/S100B/SAA1/SQSTM1/STAT3/TRAF6/UBB",24,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways","15/430","55/10821",2.11042388424733e-09,1.1011446972514e-07,7.370149044678e-08,"BCL2/BCL2L1/CASP1/CASP8/CASP9/CHUK/IKBKB/IRAK1/NFKB1/NFKB2/RELA/TNFAIP3/TRAF6/TXN/UBB",15,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"antiviral mechanism by ifn stimulated genes","antiviral mechanism by ifn stimulated genes","18/430","82/10821",2.40081123761547e-09,1.18306642653607e-07,7.91846513459137e-08,"DDX58/EIF2AK2/EIF4A1/EIF4A2/EIF4G1/IFIT1/IRF3/ISG15/MAPK3/MX1/OAS1/OAS3/PIN1/RNASEL/STAT1/TRIM25/UBB/USP18",18,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"toll like receptor 10 tlr10 cascade","toll like receptor 10 tlr10 cascade","18/430","84/10821",3.62541681607253e-09,1.69249721887175e-07,1.13281722119939e-07,"CHUK/FOS/HMGB1/IKBKB/IRAK1/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100B/SAA1/TRAF6/UBB",18,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"traf6 mediated irf7 activation","traf6 mediated irf7 activation","11/430","29/10821",6.22427740611971e-09,2.76046702961409e-07,1.84762760897448e-07,"DDX58/IFIH1/IFNA1/IFNA2/IFNB1/IKBKE/IRF3/IRF7/MAVS/TRAF6/TRIM25",11,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"programmed cell death","programmed cell death","26/430","180/10821",1.00995468829837e-08,4.26585623105074e-07,2.85521024661795e-07,"AKT1/BCL2/BCL2L1/C1QBP/CASP3/CASP8/CASP9/CDH1/CDKN2A/CTNNB1/FAS/FASLG/HMGB1/MAPK1/MAPK3/MAPK8/OCLN/PSMA7/PSMB9/PSME3/STAT3/TLR4/TP53/UBB/UNC5A/VIM",26,"HEPATITIS C",2,"Cell fate: apoptosis, senesence, differentiation"
"traf3 dependent irf activation pathway","traf3 dependent irf activation pathway","8/430","14/10821",1.41882146517336e-08,5.72043018003986e-07,3.82878137013289e-07,"DDX58/IFIH1/IFNB1/IKBKE/IRF3/IRF7/MAVS/TRIM25",8,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"tak1 activates nfkb by phosphorylation and activation of ikks complex","tak1 activates nfkb by phosphorylation and activation of ikks complex","11/430","32/10821",2.08330738540808e-08,8.03432022111724e-07,5.37750739299842e-07,"CHUK/HMGB1/IKBKB/IRAK1/NFKB1/NFKB2/RELA/S100B/SAA1/TRAF6/UBB",11,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interleukin 12 family signaling","interleukin 12 family signaling","14/430","57/10821",3.19018135368253e-08,1.17903785863183e-06,7.89150124331994e-07,"ANXA2/ARF1/CDC42/CRLF1/IFNG/IL10/IL12A/IL12B/IL23A/IL27/PPIA/STAT1/STAT3/SOD1",14,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 1 signaling","interleukin 1 signaling","18/430","102/10821",8.92137639538135e-08,3.084693505693e-06,2.06463791278805e-06,"CHUK/HMGB1/IKBKB/IL1A/IL1B/IRAK1/MAP2K1/NFKB1/NFKB2/RELA/PSMA7/PSMB9/PSME3/S100B/SAA1/SQSTM1/TRAF6/UBB",18,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"plasma lipoprotein assembly remodeling and clearance","plasma lipoprotein assembly remodeling and clearance","15/430","71/10821",9.04194263224554e-08,3.084693505693e-06,2.06463791278805e-06,"ABCA1/ALB/APOB/APOC1/APOC3/APOE/LDLR/LIPC/LPA/LPL/MBTPS1/MTTP/PCSK9/SCARB1/VLDLR",15,"HEPATITIS C",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10","nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10","7/430","12/10821",9.93365842786548e-08,3.21089833156227e-06,2.14910895271005e-06,"CASP8/CHUK/DDX58/IFIH1/IKBKB/MAVS/TRIM25",7,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"intrinsic pathway for apoptosis","intrinsic pathway for apoptosis","13/430","53/10821",1.01358684649091e-07,3.21089833156227e-06,2.14910895271005e-06,"AKT1/BCL2/BCL2L1/C1QBP/CASP3/CASP8/CASP9/CDKN2A/MAPK1/MAPK3/MAPK8/STAT3/TP53",13,"HEPATITIS C",2,"Cell fate: apoptosis, senesence, differentiation"
"growth hormone receptor signaling","growth hormone receptor signaling","9/430","24/10821",1.74658851985983e-07,5.34215178315749e-06,3.57559319492176e-06,"CISH/IRS1/MAPK1/MAPK3/SOCS1/SOCS2/SOCS3/STAT1/STAT3",9,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"nf kb is activated and signals survival","nf kb is activated and signals survival","7/430","13/10821",2.07880705535869e-07,6.14633952701052e-06,4.11384975165719e-06,"IKBKB/IRAK1/NFKB1/RELA/SQSTM1/TRAF6/UBB",7,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"antigen processing cross presentation","antigen processing cross presentation","17/430","99/10821",3.07195174927272e-07,8.78974581162873e-06,5.88312660981262e-06,"CD36/CHUK/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/IKBKB/PSMA7/PSMB9/PSME3/TAPBP/TLR1/TLR2/TLR4/TLR6/UBB",17,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"regulation of ifna signaling","regulation of ifna signaling","9/430","26/10821",3.88772811095691e-07,1.0476336036016e-05,7.01199017897468e-06,"IFNA1/IFNA2/IFNAR1/IFNB1/SOCS1/SOCS3/STAT1/STAT2/USP18",9,"HEPATITIS C",8,"Interferon stimulated genes: interleukins and antigen presentation"
"traf6 mediated irf7 activation in tlr7 8 or 9 signaling","traf6 mediated irf7 activation in tlr7 8 or 9 signaling","7/430","14/10821",4.01573196420004e-07,1.0476336036016e-05,7.01199017897468e-06,"IRAK1/IRF7/TLR7/TLR8/TLR9/TRAF6/UBB",7,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","17/430","102/10821",4.78468880143169e-07,1.21257684767712e-05,8.11598341054879e-06,"AKT1/AREG/CASP9/CD19/CD28/CD86/CDKN1A/CHUK/EGFR/ERBB2/ESR1/FOXO1/FOXO3/HGF/IRS1/MTOR/PTEN",17,"HEPATITIS C",4,"Signal transduction upon growth factor stimulation"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","37/430","386/10821",5.80333576393587e-07,1.42987745072531e-05,9.57041336508723e-06,"AKT1/AREG/ATG7/CASP9/CD19/CD28/CD86/CDKN1A/CHUK/CTNNB1/EGFR/ERBB2/ESR1/FOXO1/FOXO3/HGF/HRAS/HSP90AA1/IRS1/KRAS/LRRFIP1/MAP2K1/MAP2K2/MAPK1/MAPK3/MTOR/MYC/PHB/PSMA7/PSMB9/PSME3/PTEN/RAF1/STAT1/STAT3/TGFB1/UBB",37,"HEPATITIS C",4,"Signal transduction upon growth factor stimulation"
"interleukin 17 signaling","interleukin 17 signaling","14/430","71/10821",5.99506543266434e-07,1.43719541588467e-05,9.61939375255388e-06,"CHUK/FOS/IKBKB/IL17A/IRAK1/JUN/MAP2K1/MAP2K7/MAPK1/MAPK3/MAPK8/NFKB1/TRAF6/UBB",14,"HEPATITIS C",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
