"Id","Label","Class"
"FGF12","FGF12","Gene"
"KCNIP3","KCNIP3","Gene"
"SLC8A2","SLC8A2","Gene"
"CASQ2","CASQ2","Gene"
"FKBP1B","FKBP1B","Gene"
"KCNIP2","KCNIP2","Gene"
"SORBS3","SORBS3","Gene"
"CALD1","CALD1","Gene"
"KCNK15","KCNK15","Gene"
"FGF13","FGF13","Gene"
"CACNG6","CACNG6","Gene"
"ATP1A4","ATP1A4","Gene"
"DYSF","DYSF","Gene"
"FXYD6","FXYD6","Gene"
"FXYD2","FXYD2","Gene"
"CASQ1","CASQ1","Gene"
"CORIN","CORIN","Gene"
"FXYD4","FXYD4","Gene"
"CACNA2D4","CACNA2D4","Gene"
"KCNE4","KCNE4","Gene"
"GUCY1A2","GUCY1A2","Gene"
"CACNA2D1","CACNA2D1","Gene"
"CLIC2","CLIC2","Gene"
"ATP2B2","ATP2B2","Gene"
"KCNE2","KCNE2","Gene"
"NPR2","NPR2","Gene"
"FGF11","FGF11","Gene"
"ACTG2","ACTG2","Gene"
"NPPC","NPPC","Gene"
"ATP1A1","ATP1A1","Gene"
"LMOD1","LMOD1","Gene"
"GUCY1A1","GUCY1A1","Gene"
"KCNK5","KCNK5","Gene"
"NPR1","NPR1","Gene"
"SLN","SLN","Gene"
"KCNE3","KCNE3","Gene"
"KCNE5","KCNE5","Gene"
"TRIM72","TRIM72","Gene"
"MYLPF","MYLPF","Gene"
"KCNE1","KCNE1","Gene"
"KCNIP1","KCNIP1","Gene"
"CAV3","CAV3","Gene"
"ANXA2","ANXA2","Gene"
"SLC8A1","SLC8A1","Gene"
"KCNK12","KCNK12","Gene"
"KCNIP4","KCNIP4","Gene"
"TRDN","TRDN","Gene"
"RYR1","RYR1","Gene"
"MYL6B","MYL6B","Gene"
"ANXA6","ANXA6","Gene"
"ASPH","ASPH","Gene"
"PLN","PLN","Gene"
"RYR2","RYR2","Gene"
"RYR3","RYR3","Gene"
"MYL5","MYL5","Gene"
"FXYD7","FXYD7","Gene"
"FXYD1","FXYD1","Gene"
"ERCC1","ERCC1","Gene"
"PIAS1","PIAS1","Gene"
"ERCC8","ERCC8","Gene"
"ACTR5","ACTR5","Gene"
"TFPT","TFPT","Gene"
"COPS7A","COPS7A","Gene"
"ACTR8","ACTR8","Gene"
"INO80D","INO80D","Gene"
"INO80B","INO80B","Gene"
"RAD23B","RAD23B","Gene"
"COPS5","COPS5","Gene"
"POLK","POLK","Gene"
"USP45","USP45","Gene"
"INO80","INO80","Gene"
"CHD1L","CHD1L","Gene"
"PIAS3","PIAS3","Gene"
"ERCC5","ERCC5","Gene"
"XPA","XPA","Gene"
"COPS4","COPS4","Gene"
"CUL4A","CUL4A","Gene"
"COPS3","COPS3","Gene"
"COPS7B","COPS7B","Gene"
"INO80C","INO80C","Gene"
"XPC","XPC","Gene"
"CUL4B","CUL4B","Gene"
"UVSSA","UVSSA","Gene"
"COPS2","COPS2","Gene"
"DDB1","DDB1","Gene"
"COPS6","COPS6","Gene"
"INO80E","INO80E","Gene"
"GPS1","GPS1","Gene"
"NFRKB","NFRKB","Gene"
"ERCC4","ERCC4","Gene"
"RAD23A","RAD23A","Gene"
"SUMO3","SUMO3","Gene"
"MCRS1","MCRS1","Gene"
"SUMO2","SUMO2","Gene"
"COPS8","COPS8","Gene"
"ZNF830","ZNF830","Gene"
"HMGN1","HMGN1","Gene"
"ERCC6","ERCC6","Gene"
"UBE2T","UBE2T","Gene"
"FANCE","FANCE","Gene"
"WDR48","WDR48","Gene"
"FANCL","FANCL","Gene"
"DCLRE1B","DCLRE1B","Gene"
"POLN","POLN","Gene"
"FAAP24","FAAP24","Gene"
"SLX1A","SLX1A","Gene"
"EME1","EME1","Gene"
"FAAP20","FAAP20","Gene"
"USP1","USP1","Gene"
"MUS81","MUS81","Gene"
"FANCB","FANCB","Gene"
"SLX1B","SLX1B","Gene"
"FANCF","FANCF","Gene"
"FAAP100","FAAP100","Gene"
"FANCA","FANCA","Gene"
"FANCM","FANCM","Gene"
"SLX4","SLX4","Gene"
"EME2","EME2","Gene"
"FAN1","FAN1","Gene"
"DCLRE1A","DCLRE1A","Gene"
"FANCG","FANCG","Gene"
"SLC22A16","SLC22A16","Gene"
"SLC4A1","SLC4A1","Gene"
"SLC25A5","SLC25A5","Gene"
"SLC13A2","SLC13A2","Gene"
"SLC11A1","SLC11A1","Gene"
"SLC4A7","SLC4A7","Gene"
"SLC18A1","SLC18A1","Gene"
"CTNS","CTNS","Gene"
"CP","CP","Gene"
"SLC4A8","SLC4A8","Gene"
"SLC12A2","SLC12A2","Gene"
"SLC9A7","SLC9A7","Gene"
"SLC9A3","SLC9A3","Gene"
"SLC12A3","SLC12A3","Gene"
"SLC12A1","SLC12A1","Gene"
"SLC4A4","SLC4A4","Gene"
"SLC13A1","SLC13A1","Gene"
"SLC15A1","SLC15A1","Gene"
"SLC8B1","SLC8B1","Gene"
"HEPH","HEPH","Gene"
"SLC26A4","SLC26A4","Gene"
"SLC26A3","SLC26A3","Gene"
"SLC17A6","SLC17A6","Gene"
"SLC5A1","SLC5A1","Gene"
"SLC5A4","SLC5A4","Gene"
"SLCO4A1","SLCO4A1","Gene"
"SLC35A2","SLC35A2","Gene"
"ARL2BP","ARL2BP","Gene"
"SLC6A2","SLC6A2","Gene"
"SLC39A14","SLC39A14","Gene"
"FGF21","FGF21","Gene"
"SLC2A9","SLC2A9","Gene"
"SLC15A3","SLC15A3","Gene"
"SLC22A18","SLC22A18","Gene"
"SLC11A2","SLC11A2","Gene"
"RHAG","RHAG","Gene"
"SLC39A7","SLC39A7","Gene"
"SLC29A1","SLC29A1","Gene"
"SLC4A9","SLC4A9","Gene"
"SLC27A6","SLC27A6","Gene"
"SLC12A7","SLC12A7","Gene"
"SLC4A3","SLC4A3","Gene"
"SLC30A3","SLC30A3","Gene"
"SLC9A2","SLC9A2","Gene"
"SLC35A3","SLC35A3","Gene"
"SLC5A9","SLC5A9","Gene"
"SLC16A7","SLC16A7","Gene"
"SLC17A5","SLC17A5","Gene"
"SLC12A4","SLC12A4","Gene"
"SLC12A5","SLC12A5","Gene"
"SLC17A1","SLC17A1","Gene"
"SLC27A1","SLC27A1","Gene"
"SLC34A1","SLC34A1","Gene"
"RHBG","RHBG","Gene"
"SLC14A2","SLC14A2","Gene"
"SLC41A1","SLC41A1","Gene"
"SLC2A11","SLC2A11","Gene"
"SLC9A5","SLC9A5","Gene"
"SLC41A2","SLC41A2","Gene"
"SLC2A8","SLC2A8","Gene"
"SLC31A1","SLC31A1","Gene"
"SLC22A7","SLC22A7","Gene"
"SLCO2B1","SLCO2B1","Gene"
"SLC28A2","SLC28A2","Gene"
"SLC40A1","SLC40A1","Gene"
"SLC39A8","SLC39A8","Gene"
"SLCO1C1","SLCO1C1","Gene"
"SLC15A4","SLC15A4","Gene"
"SLC39A5","SLC39A5","Gene"
"SLC24A4","SLC24A4","Gene"
"SLC12A6","SLC12A6","Gene"
"RHCG","RHCG","Gene"
"SLC5A2","SLC5A2","Gene"
"SLC39A6","SLC39A6","Gene"
"SLC14A1","SLC14A1","Gene"
"SLC13A5","SLC13A5","Gene"
"SLC39A3","SLC39A3","Gene"
"SLC47A1","SLC47A1","Gene"
"SLC39A1","SLC39A1","Gene"
"SLC20A1","SLC20A1","Gene"
"SLC4A10","SLC4A10","Gene"
"SLC25A26","SLC25A26","Gene"
"SLC10A6","SLC10A6","Gene"
"SLC30A5","SLC30A5","Gene"
"SLC2A12","SLC2A12","Gene"
"SLC16A2","SLC16A2","Gene"
"SLC26A7","SLC26A7","Gene"
"SLC39A4","SLC39A4","Gene"
"LCN9","LCN9","Gene"
"SLC5A12","SLC5A12","Gene"
"SLC22A8","SLC22A8","Gene"
"SLC2A13","SLC2A13","Gene"
"SLC30A6","SLC30A6","Gene"
"SLC5A10","SLC5A10","Gene"
"SLC24A2","SLC24A2","Gene"
"SLC28A1","SLC28A1","Gene"
"SLC34A2","SLC34A2","Gene"
"SLC30A2","SLC30A2","Gene"
"SLC13A3","SLC13A3","Gene"
"AHCYL2","AHCYL2","Gene"
"SLC45A3","SLC45A3","Gene"
"SLC5A11","SLC5A11","Gene"
"SLC2A6","SLC2A6","Gene"
"LCN1","LCN1","Gene"
"SLC30A7","SLC30A7","Gene"
"SLC22A15","SLC22A15","Gene"
"SLC15A2","SLC15A2","Gene"
"SLC35A1","SLC35A1","Gene"
"SLC29A4","SLC29A4","Gene"
"SLC13A4","SLC13A4","Gene"
"SLC30A8","SLC30A8","Gene"
"SLC4A2","SLC4A2","Gene"
"SLC39A2","SLC39A2","Gene"
"SLC6A5","SLC6A5","Gene"
"SLC27A4","SLC27A4","Gene"
"SLC22A11","SLC22A11","Gene"
"SLC20A2","SLC20A2","Gene"
"SLC50A1","SLC50A1","Gene"
"SLC33A1","SLC33A1","Gene"
"SLC30A1","SLC30A1","Gene"
"EMB","EMB","Gene"
"MFSD4B","MFSD4B","Gene"
"SLC2A14","SLC2A14","Gene"
"SLCO4C1","SLCO4C1","Gene"
"SLC26A9","SLC26A9","Gene"
"SLCO2A1","SLCO2A1","Gene"
"SLC29A2","SLC29A2","Gene"
"SLCO3A1","SLCO3A1","Gene"
"SLC25A22","SLC25A22","Gene"
"LCN15","LCN15","Gene"
"SLC17A8","SLC17A8","Gene"
"SLC9A4","SLC9A4","Gene"
"SLC47A2","SLC47A2","Gene"
"SLC26A11","SLC26A11","Gene"
"SLC9A9","SLC9A9","Gene"
"SLC35C1","SLC35C1","Gene"
"SLC25A18","SLC25A18","Gene"
"LCN12","LCN12","Gene"
"SLC24A3","SLC24A3","Gene"
"SLC24A5","SLC24A5","Gene"
"SLC4A5","SLC4A5","Gene"
"APOD","APOD","Gene"
"SLC6A9","SLC6A9","Gene"
"SLC30A10","SLC30A10","Gene"
"SLC39A10","SLC39A10","Gene"
"SLC22A4","SLC22A4","Gene"
"SLC2A7","SLC2A7","Gene"
"SLC22A5","SLC22A5","Gene"
"SLC2A10","SLC2A10","Gene"
"SLC28A3","SLC28A3","Gene"
"SLC9A8","SLC9A8","Gene"
"SLC22A12","SLC22A12","Gene"
"SLC22A6","SLC22A6","Gene"
"SLC29A3","SLC29A3","Gene"
"SLC34A3","SLC34A3","Gene"
"SLC9A6","SLC9A6","Gene"
"SLC5A3","SLC5A3","Gene"
"SLC35B4","SLC35B4","Gene"
"RSC1A1","RSC1A1","Gene"
"SLC26A6","SLC26A6","Gene"
"MAP3K14","MAP3K14","Gene"
"MAP3K8","MAP3K8","Gene"
"IGF1","IGF1","Gene"
"PLA2G7","PLA2G7","Gene"
"MBOAT4","MBOAT4","Gene"
"CD274","CD274","Gene"
"TNFRSF14","TNFRSF14","Gene"
"ICOSLG","ICOSLG","Gene"
"BTLA","BTLA","Gene"
"PDCD1","PDCD1","Gene"
"PDCD1LG2","PDCD1LG2","Gene"
"TFPI","TFPI","Gene"
"F11","F11","Gene"
"SERPIND1","SERPIND1","Gene"
"C1QBP","C1QBP","Gene"
"F3","F3","Gene"
"SERPINC1","SERPINC1","Gene"
"F13A1","F13A1","Gene"
"F12","F12","Gene"
"SERPINE2","SERPINE2","Gene"
"PRCP","PRCP","Gene"
"F13B","F13B","Gene"
"SERPING1","SERPING1","Gene"
"F8","F8","Gene"
"SERPINA5","SERPINA5","Gene"
"PRTN3","PRTN3","Gene"
"F5","F5","Gene"
"TUT7","TUT7","Gene"
"TUT4","TUT4","Gene"
"PAN2","PAN2","Gene"
"PARN","PARN","Gene"
"PAN3","PAN3","Gene"
"PAIP1","PAIP1","Gene"
"EDC4","EDC4","Gene"
"DDX6","DDX6","Gene"
"XRN1","XRN1","Gene"
"DCP1B","DCP1B","Gene"
"PATL1","PATL1","Gene"
"DCP2","DCP2","Gene"
"LSM1","LSM1","Gene"
"EDC3","EDC3","Gene"
"DCP1A","DCP1A","Gene"
"EXOSC7","EXOSC7","Gene"
"EXOSC5","EXOSC5","Gene"
"DIS3","DIS3","Gene"
"EXOSC3","EXOSC3","Gene"
"DCPS","DCPS","Gene"
"HBS1L","HBS1L","Gene"
"EXOSC8","EXOSC8","Gene"
"EXOSC9","EXOSC9","Gene"
"EXOSC2","EXOSC2","Gene"
"WDR61","WDR61","Gene"
"NT5C3B","NT5C3B","Gene"
"EXOSC1","EXOSC1","Gene"
"EXOSC4","EXOSC4","Gene"
"TTC37","TTC37","Gene"
"EXOSC6","EXOSC6","Gene"
"LAS1L","LAS1L","Gene"
"UPF1","UPF1","Gene"
"ELAC2","ELAC2","Gene"
"TSR3","TSR3","Gene"
"UTP18","UTP18","Gene"
"TFB1M","TFB1M","Gene"
"NSUN2","NSUN2","Gene"
"METTL1","METTL1","Gene"
"TRIT1","TRIT1","Gene"
"NOP58","NOP58","Gene"
"RIOK2","RIOK2","Gene"
"WDR3","WDR3","Gene"
"WDR18","WDR18","Gene"
"ADAT1","ADAT1","Gene"
"TRMT11","TRMT11","Gene"
"THUMPD1","THUMPD1","Gene"
"FTSJ1","FTSJ1","Gene"
"SMG6","SMG6","Gene"
"BUD23","BUD23","Gene"
"TRNT1","TRNT1","Gene"
"IGF2BP2","IGF2BP2","Gene"
"DDX1","DDX1","Gene"
"TNPO1","TNPO1","Gene"
"DIMT1","DIMT1","Gene"
"NOP14","NOP14","Gene"
"RTRAF","RTRAF","Gene"
"KHSRP","KHSRP","Gene"
"TRMT6","TRMT6","Gene"
"PUS7","PUS7","Gene"
"OSGEP","OSGEP","Gene"
"PES1","PES1","Gene"
"RTCB","RTCB","Gene"
"APOBEC3H","APOBEC3H","Gene"
"TRMU","TRMU","Gene"
"KIAA0391","KIAA0391","Gene"
"RIOK3","RIOK3","Gene"
"POP1","POP1","Gene"
"ERI1","ERI1","Gene"
"TRMT1","TRMT1","Gene"
"POP4","POP4","Gene"
"FBL","FBL","Gene"
"DDX49","DDX49","Gene"
"SMG9","SMG9","Gene"
"HSPB1","HSPB1","Gene"
"RBM28","RBM28","Gene"
"TRDMT1","TRDMT1","Gene"
"FTSJ3","FTSJ3","Gene"
"UTP6","UTP6","Gene"
"GAR1","GAR1","Gene"
"PUS3","PUS3","Gene"
"KRR1","KRR1","Gene"
"APOBEC1","APOBEC1","Gene"
"BYSL","BYSL","Gene"
"THG1L","THG1L","Gene"
"RRP9","RRP9","Gene"
"NCL","NCL","Gene"
"WDR75","WDR75","Gene"
"PNO1","PNO1","Gene"
"THADA","THADA","Gene"
"SMG7","SMG7","Gene"
"EBNA1BP2","EBNA1BP2","Gene"
"NSUN4","NSUN4","Gene"
"UTP25","UTP25","Gene"
"HEATR1","HEATR1","Gene"
"FCF1","FCF1","Gene"
"RCL1","RCL1","Gene"
"UTP20","UTP20","Gene"
"MTERF4","MTERF4","Gene"
"TRMT13","TRMT13","Gene"
"MRM2","MRM2","Gene"
"MPHOSPH10","MPHOSPH10","Gene"
"RRP36","RRP36","Gene"
"APOBEC2","APOBEC2","Gene"
"RIOK1","RIOK1","Gene"
"RPP40","RPP40","Gene"
"EMG1","EMG1","Gene"
"TRMT5","TRMT5","Gene"
"ZFP36","ZFP36","Gene"
"APOBEC3A","APOBEC3A","Gene"
"GTPBP3","GTPBP3","Gene"
"NOL11","NOL11","Gene"
"UTP3","UTP3","Gene"
"NIP7","NIP7","Gene"
"WDR36","WDR36","Gene"
"MTO1","MTO1","Gene"
"NAT10","NAT10","Gene"
"LTV1","LTV1","Gene"
"MPHOSPH6","MPHOSPH6","Gene"
"C2orf49","C2orf49","Gene"
"IGF2BP3","IGF2BP3","Gene"
"IMP4","IMP4","Gene"
"TEX10","TEX10","Gene"
"ALKBH8","ALKBH8","Gene"
"WDR12","WDR12","Gene"
"ANP32A","ANP32A","Gene"
"UTP4","UTP4","Gene"
"NOB1","NOB1","Gene"
"PELP1","PELP1","Gene"
"CTU1","CTU1","Gene"
"ISG20L2","ISG20L2","Gene"
"TPRKB","TPRKB","Gene"
"TRMT10A","TRMT10A","Gene"
"CDKAL1","CDKAL1","Gene"
"A1CF","A1CF","Gene"
"RPP30","RPP30","Gene"
"PDCD11","PDCD11","Gene"
"DHX37","DHX37","Gene"
"QTRT2","QTRT2","Gene"
"RPP38","RPP38","Gene"
"TSEN2","TSEN2","Gene"
"TRMT44","TRMT44","Gene"
"UTP14A","UTP14A","Gene"
"SMG1","SMG1","Gene"
"IGF2BP1","IGF2BP1","Gene"
"WDR4","WDR4","Gene"
"RRP1","RRP1","Gene"
"ADAR","ADAR","Gene"
"TNFSF13","TNFSF13","Gene"
"SENP3","SENP3","Gene"
"NOL9","NOL9","Gene"
"TYW3","TYW3","Gene"
"TYW5","TYW5","Gene"
"RPP14","RPP14","Gene"
"WDR43","WDR43","Gene"
"GNL3","GNL3","Gene"
"UTP15","UTP15","Gene"
"DCAF13","DCAF13","Gene"
"NOL6","NOL6","Gene"
"DDX21","DDX21","Gene"
"BMS1","BMS1","Gene"
"TRMT61A","TRMT61A","Gene"
"URM1","URM1","Gene"
"DUS2","DUS2","Gene"
"POP5","POP5","Gene"
"SMG8","SMG8","Gene"
"TSR1","TSR1","Gene"
"LCMT2","LCMT2","Gene"
"TSEN34","TSEN34","Gene"
"TRMT61B","TRMT61B","Gene"
"FAM98B","FAM98B","Gene"
"EXOSC10","EXOSC10","Gene"
"MRM3","MRM3","Gene"
"POP7","POP7","Gene"
"APOBEC4","APOBEC4","Gene"
"TRMT10C","TRMT10C","Gene"
"CTU2","CTU2","Gene"
"ZBTB8OS","ZBTB8OS","Gene"
"PUS1","PUS1","Gene"
"IMP3","IMP3","Gene"
"RPP25","RPP25","Gene"
"APOBEC3B","APOBEC3B","Gene"
"NOP10","NOP10","Gene"
"TSEN54","TSEN54","Gene"
"UTP11","UTP11","Gene"
"TRMT12","TRMT12","Gene"
"TBL3","TBL3","Gene"
"XPOT","XPOT","Gene"
"NOC4L","NOC4L","Gene"
"ZFP36L1","ZFP36L1","Gene"
"ADAT2","ADAT2","Gene"
"PNRC2","PNRC2","Gene"
"RRP7A","RRP7A","Gene"
"LAGE3","LAGE3","Gene"
"C1D","C1D","Gene"
"ADARB1","ADARB1","Gene"
"TSEN15","TSEN15","Gene"
"TYW1","TYW1","Gene"
"SMG5","SMG5","Gene"
"HSPA1A","HSPA1A","Gene"
"QTRT1","QTRT1","Gene"
"ADAT3","ADAT3","Gene"
"DDX47","DDX47","Gene"
"WDR46","WDR46","Gene"
"NSUN6","NSUN6","Gene"
"RPP21","RPP21","Gene"
"PWP2","PWP2","Gene"
"APOBEC3C","APOBEC3C","Gene"
"TRMT9B","TRMT9B","Gene"
"UTP14C","UTP14C","Gene"
"BOP1","BOP1","Gene"
"NOL12","NOL12","Gene"
"RPPH1","RPPH1","Gene"
"DDX52","DDX52","Gene"
"MRM1","MRM1","Gene"
"NFKB2","NFKB2","Gene"
"TAB1","TAB1","Gene"
"NOD1","NOD1","Gene"
"IRAK2","IRAK2","Gene"
"TAB3","TAB3","Gene"
"S100A12","S100A12","Gene"
"NOD2","NOD2","Gene"
"NKIRAS2","NKIRAS2","Gene"
"NKIRAS1","NKIRAS1","Gene"
"AGER","AGER","Gene"
"MAPK9","MAPK9","Gene"
"MAPK10","MAPK10","Gene"
"MAP2K4","MAP2K4","Gene"
"MAP2K7","MAP2K7","Gene"
"STRADB","STRADB","Gene"
"CAB39L","CAB39L","Gene"
"CAB39","CAB39","Gene"
"STRADA","STRADA","Gene"
"MAP2K3","MAP2K3","Gene"
"RAD52","RAD52","Gene"
"REV3L","REV3L","Gene"
"BAZ1B","BAZ1B","Gene"
"SPRTN","SPRTN","Gene"
"PPP5C","PPP5C","Gene"
"TDP1","TDP1","Gene"
"POLQ","POLQ","Gene"
"RNF4","RNF4","Gene"
"EYA2","EYA2","Gene"
"KDM4A","KDM4A","Gene"
"UFD1","UFD1","Gene"
"RAD18","RAD18","Gene"
"TIPIN","TIPIN","Gene"
"XRCC5","XRCC5","Gene"
"RIF1","RIF1","Gene"
"PALB2","PALB2","Gene"
"ALKBH5","ALKBH5","Gene"
"ASCC2","ASCC2","Gene"
"POLI","POLI","Gene"
"USP10","USP10","Gene"
"EYA1","EYA1","Gene"
"RAD51AP1","RAD51AP1","Gene"
"TIMELESS","TIMELESS","Gene"
"TDP2","TDP2","Gene"
"ASCC3","ASCC3","Gene"
"EYA4","EYA4","Gene"
"MSH3","MSH3","Gene"
"MSH6","MSH6","Gene"
"MAD2L2","MAD2L2","Gene"
"UBE2B","UBE2B","Gene"
"POLM","POLM","Gene"
"XRCC3","XRCC3","Gene"
"KDM4B","KDM4B","Gene"
"REV1","REV1","Gene"
"ASCC1","ASCC1","Gene"
"FTO","FTO","Gene"
"DTL","DTL","Gene"
"PPP4C","PPP4C","Gene"
"XRCC4","XRCC4","Gene"
"DCLRE1C","DCLRE1C","Gene"
"USP43","USP43","Gene"
"EYA3","EYA3","Gene"
"PPP4R2","PPP4R2","Gene"
"RCHY1","RCHY1","Gene"
"BAP1","BAP1","Gene"
"SPIDR","SPIDR","Gene"
"POLL","POLL","Gene"
"ALKBH3","ALKBH3","Gene"
"APBB1","APBB1","Gene"
"PCLAF","PCLAF","Gene"
"MGMT","MGMT","Gene"
"POLH","POLH","Gene"
"LIG4","LIG4","Gene"
"GEN1","GEN1","Gene"
"RAD51B","RAD51B","Gene"
"NPLOC4","NPLOC4","Gene"
"NHEJ1","NHEJ1","Gene"
"ALKBH2","ALKBH2","Gene"
"XRCC6","XRCC6","Gene"
"XRCC2","XRCC2","Gene"
"PRKDC","PRKDC","Gene"
"RTEL1","RTEL1","Gene"
"DPM1","DPM1","Gene"
"FUCA2","FUCA2","Gene"
"KLHL13","KLHL13","Gene"
"ARF5","ARF5","Gene"
"THSD7A","THSD7A","Gene"
"COPZ2","COPZ2","Gene"
"ASB4","ASB4","Gene"
"TMEM132A","TMEM132A","Gene"
"PAF1","PAF1","Gene"
"PRSS21","PRSS21","Gene"
"TRAPPC6A","TRAPPC6A","Gene"
"CEACAM7","CEACAM7","Gene"
"PIGQ","PIGQ","Gene"
"POMT2","POMT2","Gene"
"PLAUR","PLAUR","Gene"
"NUB1","NUB1","Gene"
"PGM3","PGM3","Gene"
"ZRANB1","ZRANB1","Gene"
"BIRC3","BIRC3","Gene"
"ALG1","ALG1","Gene"
"FUT8","FUT8","Gene"
"UBA6","UBA6","Gene"
"RAB27B","RAB27B","Gene"
"DCUN1D1","DCUN1D1","Gene"
"CUL7","CUL7","Gene"
"USP28","USP28","Gene"
"ADAMTS6","ADAMTS6","Gene"
"RCN1","RCN1","Gene"
"TNIP3","TNIP3","Gene"
"TRAPPC3","TRAPPC3","Gene"
"PUM2","PUM2","Gene"
"USP13","USP13","Gene"
"PIGV","PIGV","Gene"
"BTBD1","BTBD1","Gene"
"ASB1","ASB1","Gene"
"SP100","SP100","Gene"
"METTL22","METTL22","Gene"
"OTUD5","OTUD5","Gene"
"PIGB","PIGB","Gene"
"RAB27A","RAB27A","Gene"
"FSTL3","FSTL3","Gene"
"ST6GALNAC1","ST6GALNAC1","Gene"
"MGAT4A","MGAT4A","Gene"
"HLTF","HLTF","Gene"
"SPP2","SPP2","Gene"
"LMAN1","LMAN1","Gene"
"ANO8","ANO8","Gene"
"KLHL20","KLHL20","Gene"
"TOP2B","TOP2B","Gene"
"UBE2A","UBE2A","Gene"
"UBE2K","UBE2K","Gene"
"VDAC3","VDAC3","Gene"
"BPIFB2","BPIFB2","Gene"
"SENP1","SENP1","Gene"
"KEAP1","KEAP1","Gene"
"RAB21","RAB21","Gene"
"AFP","AFP","Gene"
"SEMA5B","SEMA5B","Gene"
"CYLD","CYLD","Gene"
"APLP2","APLP2","Gene"
"AGBL5","AGBL5","Gene"
"RAB10","RAB10","Gene"
"CD59","CD59","Gene"
"POMGNT1","POMGNT1","Gene"
"ALG9","ALG9","Gene"
"PIGS","PIGS","Gene"
"KLHL42","KLHL42","Gene"
"ALG6","ALG6","Gene"
"EDEM2","EDEM2","Gene"
"DNMT3B","DNMT3B","Gene"
"MAVS","MAVS","Gene"
"CHGB","CHGB","Gene"
"GANAB","GANAB","Gene"
"OTUB2","OTUB2","Gene"
"MUL1","MUL1","Gene"
"USP48","USP48","Gene"
"TF","TF","Gene"
"SCFD1","SCFD1","Gene"
"VNN3","VNN3","Gene"
"SEC22C","SEC22C","Gene"
"DHPS","DHPS","Gene"
"ARCN1","ARCN1","Gene"
"NANS","NANS","Gene"
"WAC","WAC","Gene"
"RAB18","RAB18","Gene"
"FBXL19","FBXL19","Gene"
"KLHL22","KLHL22","Gene"
"LGALS1","LGALS1","Gene"
"KDELR3","KDELR3","Gene"
"DDX17","DDX17","Gene"
"JOSD1","JOSD1","Gene"
"FBXO7","FBXO7","Gene"
"RAB36","RAB36","Gene"
"TTLL1","TTLL1","Gene"
"TTLL12","TTLL12","Gene"
"APOL1","APOL1","Gene"
"PMM1","PMM1","Gene"
"VCPKMT","VCPKMT","Gene"
"GNPNAT1","GNPNAT1","Gene"
"CNIH1","CNIH1","Gene"
"PIGH","PIGH","Gene"
"ASB2","ASB2","Gene"
"DCAF11","DCAF11","Gene"
"ARFGAP1","ARFGAP1","Gene"
"CST3","CST3","Gene"
"PIGU","PIGU","Gene"
"USP14","USP14","Gene"
"ST8SIA5","ST8SIA5","Gene"
"ALG13","ALG13","Gene"
"CCDC22","CCDC22","Gene"
"RENBP","RENBP","Gene"
"ASB9","ASB9","Gene"
"MAGT1","MAGT1","Gene"
"DNAJC3","DNAJC3","Gene"
"UGGT2","UGGT2","Gene"
"MSLN","MSLN","Gene"
"COG4","COG4","Gene"
"FBXO31","FBXO31","Gene"
"RNF40","RNF40","Gene"
"RAB11A","RAB11A","Gene"
"SCG3","SCG3","Gene"
"UBE2W","UBE2W","Gene"
"TSTA3","TSTA3","Gene"
"TUSC3","TUSC3","Gene"
"NUCB1","NUCB1","Gene"
"PPP6R1","PPP6R1","Gene"
"ETFB","ETFB","Gene"
"KDELR1","KDELR1","Gene"
"RAB3D","RAB3D","Gene"
"COPE","COPE","Gene"
"FKBP8","FKBP8","Gene"
"BET1","BET1","Gene"
"USP42","USP42","Gene"
"YKT6","YKT6","Gene"
"UBE2R2","UBE2R2","Gene"
"SEC23IP","SEC23IP","Gene"
"NSMCE4A","NSMCE4A","Gene"
"FBXL15","FBXL15","Gene"
"UBE2S","UBE2S","Gene"
"FBXL20","FBXL20","Gene"
"GOSR2","GOSR2","Gene"
"PIGL","PIGL","Gene"
"GOSR1","GOSR1","Gene"
"PEX12","PEX12","Gene"
"FAM20A","FAM20A","Gene"
"DPH1","DPH1","Gene"
"WSB1","WSB1","Gene"
"RAB34","RAB34","Gene"
"DCUN1D4","DCUN1D4","Gene"
"KLHL2","KLHL2","Gene"
"WFS1","WFS1","Gene"
"KLHL5","KLHL5","Gene"
"ZBTB16","ZBTB16","Gene"
"TECTA","TECTA","Gene"
"PPP6R3","PPP6R3","Gene"
"FOLR1","FOLR1","Gene"
"APOA5","APOA5","Gene"
"COMMD9","COMMD9","Gene"
"MLEC","MLEC","Gene"
"ART4","ART4","Gene"
"COPZ1","COPZ1","Gene"
"CAND1","CAND1","Gene"
"AC034102.1","AC034102.1","Gene"
"USP5","USP5","Gene"
"SPSB2","SPSB2","Gene"
"SUDS3","SUDS3","Gene"
"CMAS","CMAS","Gene"
"ST8SIA1","ST8SIA1","Gene"
"RAB35","RAB35","Gene"
"MAN1A1","MAN1A1","Gene"
"MDGA1","MDGA1","Gene"
"FBXO9","FBXO9","Gene"
"RAB23","RAB23","Gene"
"FBXL4","FBXL4","Gene"
"GPLD1","GPLD1","Gene"
"CUL9","CUL9","Gene"
"GMDS","GMDS","Gene"
"MAN2A1","MAN2A1","Gene"
"STC2","STC2","Gene"
"CNTN3","CNTN3","Gene"
"RNF7","RNF7","Gene"
"USP4","USP4","Gene"
